t_s,q1_deg,q2_deg,q3_deg,q1d_dps,q2d_dps,q3d_dps,q1dd_dps2,q2dd_dps2,q3dd_dps2,ee_x_mm,ee_y_mm,ee_z_mm
1.0600,9.0159,112.6111,-114.8814,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.0700,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.0800,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.0900,9.0159,112.6111,-114.8814,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.1000,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.1100,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.1200,9.0159,112.6111,-114.8814,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.1300,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.1400,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.1500,9.0159,112.6111,-114.8814,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.1600,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.1700,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.1800,9.0159,112.6111,-114.8814,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.1900,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.2000,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.2100,9.0159,112.6111,-114.8814,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.2200,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.2300,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.2400,9.0159,112.6111,-114.8814,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.2500,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.2600,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.2700,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.2800,9.0159,112.6111,-114.8814,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.2900,9.0159,112.6111,-114.8814,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.3000,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.3100,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.3200,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.3300,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.3400,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.3500,9.0159,112.6111,-114.8814,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.3600,9.0159,112.6111,-114.8814,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.3700,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.3800,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.3900,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.4000,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.4100,9.0159,112.6111,-114.8814,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.4200,9.0159,112.6111,-114.8814,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.4300,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.4400,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
