t_s,q1_deg,q2_deg,q3_deg,q1d_dps,q2d_dps,q3d_dps,q1dd_dps2,q2dd_dps2,q3dd_dps2,ee_x_mm,ee_y_mm,ee_z_mm
0.6200,67.1060,75.0814,-118.4369,-26.7649,389.5133,200.2916,362.8422,8053.7215,7531.6759,84.5044,200.1087,50.3586
0.6300,66.8384,78.9765,-116.4339,-23.4334,333.1529,251.1568,312.3486,-14110.3615,-2549.7503,85.4710,199.7882,67.2079
0.6400,66.6040,82.3081,-113.9224,-20.5179,107.3061,149.2966,145.7751,-11292.3417,-5093.0126,86.3178,199.5073,84.0246
0.6500,66.3989,83.3811,-112.4294,-20.5179,107.3061,149.2966,0.0000,0.0000,0.0000,87.3223,199.8621,91.4019
0.6600,66.2197,83.1120,-112.1861,-529.0446,395.0228,-454.6107,-65778.8268,42465.2916,-44907.5825,88.2694,200.3204,91.2317
0.6700,60.9293,87.0622,-116.7322,-1333.4888,822.3943,-873.8172,-58843.4009,4407.4711,1426.5263,99.9112,179.7211,90.6629
0.6800,47.5944,95.2862,-125.4703,-1705.9127,483.1723,-426.0802,23731.8737,-45723.2039,47747.4735,120.7205,132.1798,88.7339
0.6900,30.5353,100.1179,-129.7311,-858.8514,-92.0698,81.1323,42353.0642,-28762.1036,25360.6263,142.0028,83.7639,88.2550
0.7000,21.9468,99.1972,-128.9198,-858.8514,-92.0698,81.1323,0.0000,0.0000,0.0000,155.4065,62.6204,88.4417
0.7100,22.1635,98.3817,-128.1858,18.4933,-232.5759,-94.8523,-290.0997,-19416.0005,-17465.9678,157.3957,64.1149,88.6107
0.7200,22.3484,96.0559,-129.1344,15.8679,-469.8743,-275.9207,-238.0039,-16504.8695,-5969.3119,158.9297,65.3387,80.7538
0.7300,22.5071,91.3572,-131.8936,13.7332,-562.6733,-214.2385,-198.3845,7801.9223,12236.8157,159.3939,66.0462,62.9619
0.7400,22.6444,85.7304,-134.0360,11.9002,-313.8359,-31.1843,-91.6477,12441.8712,9152.7098,159.7832,66.6567,45.0940
0.7500,22.7634,82.5921,-134.3478,11.9002,-313.8359,-31.1843,0.0000,0.0000,0.0000,161.0288,67.5693,37.1294
0.7600,22.8660,82.2829,-133.7971,8.8614,249.9064,122.2817,-129.1550,29319.3079,9477.4600,162.3428,68.4629,37.4725
0.7700,22.9547,84.7820,-132.5743,7.6806,555.4719,244.6159,-107.7185,10023.4695,9650.6359,163.2582,69.1466,45.9254
0.7800,23.0315,90.3367,-130.1282,6.7070,450.3757,315.2944,-91.2540,-21296.7478,-2840.6056,163.1218,69.3469,64.7978
0.7900,23.0985,94.8405,-126.9752,5.8555,129.5369,187.8038,-42.5741,-16041.9408,-6374.5315,163.0266,69.5318,83.6138
0.8000,23.1571,96.1358,-125.0972,5.8555,129.5369,187.8038,0.0000,0.0000,0.0000,163.8893,70.0978,91.8094
0.8100,23.2079,95.7116,-124.8037,644.9584,-229.0211,195.9986,67053.0910,-29200.0949,27432.9513,164.8622,70.6870,91.5876
0.8200,29.6575,93.4214,-122.8437,1346.1443,-626.4277,578.0030,20212.0403,-33461.0006,37674.6665,161.6701,92.0561,91.2552
0.8300,43.1189,87.1571,-117.0637,1049.1992,-898.2411,949.4919,-51752.5222,7662.0623,799.0086,149.6068,140.0923,90.0326
0.8400,53.6109,78.1747,-107.5688,311.0939,-473.1865,593.9831,-36905.2690,21252.7311,-17775.4380,138.6548,188.1420,87.8333
0.8500,56.7219,73.4428,-101.6290,311.0939,-473.1865,593.9831,0.0000,0.0000,0.0000,137.1486,208.9626,87.5156
0.8600,56.2273,73.2993,-101.3314,-43.2740,-123.3869,-87.5174,577.5703,-13285.7971,-12258.3542,139.3140,208.3195,87.8135
0.8700,55.7946,72.0655,-102.2066,-37.9039,-280.0632,-215.4150,499.5780,-9925.0683,-4116.3043,141.1530,207.6581,80.8699
0.8800,55.4155,69.2648,-104.3608,-33.2824,-321.8882,-169.8435,434.2571,5745.5915,8753.9165,142.4745,206.6484,64.8504
0.8900,55.0827,66.0460,-106.0592,-29.2188,-165.1513,-40.3367,203.1809,7836.8448,6475.3423,143.6375,205.7672,48.7632
0.9000,54.7905,64.3944,-106.4626,-29.2188,-165.1513,-40.3367,0.0000,0.0000,0.0000,144.9571,205.4177,41.7198
0.9100,54.5346,64.3489,-106.2217,-22.4205,155.6736,77.4697,296.7326,17218.2850,7275.3973,146.1863,205.2074,42.1141
0.9200,54.3104,65.9056,-105.4470,-19.6606,339.8070,169.5985,256.8598,7005.9256,7132.2290,147.1864,204.9098,49.7230
0.9300,54.1138,69.3037,-103.7510,-17.2833,295.7922,220.1143,223.5363,-11828.5863,-1954.0499,147.7467,204.2074,66.5673
0.9400,53.9409,72.2616,-101.5498,-15.1899,103.2353,130.5175,104.6698,-9627.8435,-4479.8399,148.2328,203.5832,83.3857
0.9500,53.7890,73.2939,-100.2447,-15.1899,103.2353,130.5175,0.0000,0.0000,0.0000,148.9865,203.4825,90.8222
0.9600,53.6559,73.1464,-100.0848,-320.2804,1005.9472,-722.8182,-43556.1606,115819.1446,-62395.2709,149.7324,203.5072,90.7230
0.9700,50.4531,83.2059,-107.3130,-884.4407,2301.6283,-1231.9160,-61034.4299,58558.0120,25323.9611,143.6389,173.9574,105.2162
0.9800,41.6087,106.2221,-119.6321,-1540.9690,2177.1074,-216.3390,-26594.0231,-92517.1985,84984.3167,123.2260,109.4384,131.0884
0.9900,26.1990,127.9932,-121.7955,-1416.3211,451.2843,467.7703,6232.3931,-86291.1555,34205.4649,97.0355,47.7452,161.2878
1.0000,12.0357,132.5061,-117.1178,-1416.3211,451.2843,467.7703,0.0000,0.0000,0.0000,89.9059,19.1687,180.4616
