q1_deg,q2_deg,q3_deg
23.3512,70.3672,-139.5773
23.3964,70.2339,-139.6551
23.4349,70.1204,-139.7215
23.4672,70.0253,-139.7771
23.4936,69.9474,-139.8226
23.5146,69.8855,-139.8588
23.5308,69.8379,-139.8867
23.5426,69.8031,-139.9070
23.5507,69.7793,-139.9209
23.5557,69.7645,-139.9296
23.5583,69.7568,-139.9341
23.5593,69.7539,-139.9358
23.5594,69.7535,-139.9360
23.5594,69.7532,-139.9360
23.5594,69.7511,-139.9362
23.5594,69.7457,-139.9366
23.5594,69.7353,-139.9373
23.5594,69.7185,-139.9385
23.5594,69.6940,-139.9402
23.5594,69.6605,-139.9426
23.5594,69.6169,-139.9457
23.5594,69.5620,-139.9496
23.5594,69.4950,-139.9543
23.5594,69.4150,-139.9600
23.5594,69.3212,-139.9666
23.5594,69.2128,-139.9743
23.5594,69.0892,-139.9830
23.5594,68.9500,-139.9929
23.5594,68.7946,-140.0039
23.5594,68.6226,-140.0160
23.5594,68.4338,-140.0294
23.5594,68.2279,-140.0440
23.5594,68.0047,-140.0597
23.5594,67.7641,-140.0768
23.5594,67.5061,-140.0950
23.5594,67.2307,-140.1145
23.5594,66.9379,-140.1352
23.5594,66.6280,-140.1572
23.5594,66.3011,-140.1803
23.5594,65.9575,-140.2046
23.5594,65.5975,-140.2301
23.5594,65.2214,-140.2567
23.5594,64.8296,-140.2844
23.5594,64.4226,-140.3132
23.5594,64.0009,-140.3430
23.5594,63.5650,-140.3739
23.5594,63.1155,-140.4057
23.5594,62.6530,-140.4384
23.5594,62.1781,-140.4720
23.5594,61.6915,-140.5064
23.5594,61.1940,-140.5416
23.5594,60.6862,-140.5776
23.5594,60.1690,-140.6142
23.5594,59.6430,-140.6514
23.5594,59.1092,-140.6891
23.5594,58.5683,-140.7274
23.5594,58.0212,-140.7661
23.5594,57.4687,-140.8052
23.5594,56.9117,-140.8446
23.5594,56.3512,-140.8843
23.5594,55.7879,-140.9241
23.5594,55.2229,-140.9641
23.5594,54.6569,-141.0042
23.5594,54.0909,-141.0442
23.5594,53.5259,-141.0842
23.5594,52.9626,-141.1240
23.5594,52.4020,-141.1637
23.5594,51.8451,-141.2031
23.5594,51.2926,-141.2422
23.5594,50.7455,-141.2809
23.5594,50.2046,-141.3192
23.5594,49.6708,-141.3569
23.5594,49.1448,-141.3942
23.5594,48.6276,-141.4308
23.5594,48.1198,-141.4667
23.5594,47.6222,-141.5019
23.5594,47.1357,-141.5363
23.5594,46.6608,-141.5699
23.5594,46.1983,-141.6026
23.5594,45.7488,-141.6344
23.5594,45.3129,-141.6653
23.5594,44.8912,-141.6951
23.5594,44.4842,-141.7239
23.5594,44.0924,-141.7516
23.5594,43.7163,-141.7782
23.5594,43.3563,-141.8037
23.5594,43.0127,-141.8280
23.5594,42.6858,-141.8512
23.5594,42.3758,-141.8731
23.5594,42.0831,-141.8938
23.5594,41.8077,-141.9133
23.5594,41.5497,-141.9315
23.5594,41.3091,-141.9486
23.5594,41.0859,-141.9644
23.5594,40.8800,-141.9789
23.5594,40.6911,-141.9923
23.5594,40.5192,-142.0045
23.5594,40.3638,-142.0155
23.5594,40.2245,-142.0253
23.5594,40.1010,-142.0340
23.5594,39.9926,-142.0417
23.5594,39.8988,-142.0484
23.5594,39.8187,-142.0540
23.5594,39.7517,-142.0588
23.5594,39.6969,-142.0626
23.5594,39.6533,-142.0657
23.5594,39.6198,-142.0681
23.5594,39.5953,-142.0698
23.5594,39.5785,-142.0710
23.5594,39.5681,-142.0718
23.5594,39.5626,-142.0721
23.5594,39.5606,-142.0723
23.5594,39.5603,-142.0723
23.5594,39.5606,-142.0723
23.5594,39.5626,-142.0721
23.5594,39.5681,-142.0718
23.5594,39.5785,-142.0710
23.5594,39.5953,-142.0698
23.5594,39.6198,-142.0681
23.5594,39.6533,-142.0657
23.5594,39.6969,-142.0626
23.5594,39.7517,-142.0588
23.5594,39.8187,-142.0540
23.5594,39.8988,-142.0484
23.5594,39.9926,-142.0417
23.5594,40.1010,-142.0340
23.5594,40.2245,-142.0253
23.5594,40.3638,-142.0155
23.5594,40.5192,-142.0045
23.5594,40.6911,-141.9923
23.5594,40.8800,-141.9789
23.5594,41.0859,-141.9644
23.5594,41.3091,-141.9486
23.5594,41.5497,-141.9315
23.5594,41.8077,-141.9133
23.5594,42.0831,-141.8938
23.5594,42.3758,-141.8731
23.5594,42.6858,-141.8512
23.5594,43.0127,-141.8280
23.5594,43.3563,-141.8037
23.5594,43.7163,-141.7782
23.5594,44.0924,-141.7516
23.5594,44.4842,-141.7239
23.5594,44.8912,-141.6951
23.5594,45.3129,-141.6653
23.5594,45.7488,-141.6344
23.5594,46.1983,-141.6026
23.5594,46.6608,-141.5699
23.5594,47.1357,-141.5363
23.5594,47.6222,-141.5019
23.5594,48.1198,-141.4667
23.5594,48.6276,-141.4308
23.5594,49.1448,-141.3942
23.5594,49.6708,-141.3569
23.5594,50.2046,-141.3192
23.5594,50.7455,-141.2809
23.5594,51.2926,-141.2422
23.5594,51.8451,-141.2031
23.5594,52.4020,-141.1637
23.5594,52.9626,-141.1240
23.5594,53.5259,-141.0842
23.5594,54.0909,-141.0442
23.5594,54.6569,-141.0042
23.5594,55.2229,-140.9641
23.5594,55.7879,-140.9241
23.5594,56.3512,-140.8843
23.5594,56.9117,-140.8446
23.5594,57.4687,-140.8052
23.5594,58.0212,-140.7661
23.5594,58.5683,-140.7274
23.5594,59.1092,-140.6891
23.5594,59.6430,-140.6514
23.5594,60.1690,-140.6142
23.5594,60.6862,-140.5776
23.5594,61.1940,-140.5416
23.5594,61.6915,-140.5064
23.5594,62.1781,-140.4720
23.5594,62.6530,-140.4384
23.5594,63.1155,-140.4057
23.5594,63.5650,-140.3739
23.5594,64.0009,-140.3430
23.5594,64.4226,-140.3132
23.5594,64.8296,-140.2844
23.5594,65.2214,-140.2567
23.5594,65.5975,-140.2301
23.5594,65.9575,-140.2046
23.5594,66.3011,-140.1803
23.5594,66.6280,-140.1572
23.5594,66.9379,-140.1352
23.5594,67.2307,-140.1145
23.5594,67.5061,-140.0950
23.5594,67.7641,-140.0768
23.5594,68.0047,-140.0597
23.5594,68.2279,-140.0440
23.5594,68.4338,-140.0294
23.5594,68.6226,-140.0160
23.5594,68.7946,-140.0039
23.5594,68.9500,-139.9929
23.5594,69.0892,-139.9830
23.5594,69.2128,-139.9743
23.5594,69.3212,-139.9666
23.5594,69.4150,-139.9600
23.5594,69.4950,-139.9543
23.5594,69.5620,-139.9496
23.5594,69.6169,-139.9457
23.5594,69.6605,-139.9426
23.5594,69.6940,-139.9402
23.5594,69.7185,-139.9385
23.5594,69.7353,-139.9373
23.5594,69.7457,-139.9366
23.5594,69.7511,-139.9362
23.5594,69.7532,-139.9360
23.5594,69.7535,-139.9360
23.5602,69.7535,-139.9361
23.5655,69.7537,-139.9366
23.5797,69.7541,-139.9381
23.6067,69.7548,-139.9409
23.6504,69.7561,-139.9454
23.7141,69.7579,-139.9519
23.8013,69.7604,-139.9609
23.9147,69.7636,-139.9726
24.0573,69.7676,-139.9872
24.2315,69.7726,-140.0052
24.4396,69.7785,-140.0266
24.6837,69.7854,-140.0517
24.9656,69.7934,-140.0807
25.2868,69.8025,-140.1137
25.6489,69.8128,-140.1510
26.0530,69.8243,-140.1925
26.5002,69.8370,-140.2385
26.9912,69.8509,-140.2890
27.5267,69.8661,-140.3441
28.1071,69.8826,-140.4038
28.7328,69.9004,-140.4682
29.4037,69.9194,-140.5372
30.1199,69.9398,-140.6109
30.8812,69.9614,-140.6892
31.6871,69.9843,-140.7721
32.5372,70.0084,-140.8596
33.4308,70.0338,-140.9515
34.3670,70.0604,-141.0478
35.3451,70.0882,-141.1484
36.3639,70.1171,-141.2532
37.4222,70.1471,-141.3621
38.5189,70.1783,-141.4749
39.6524,70.2105,-141.5915
40.8213,70.2437,-141.7118
42.0241,70.2778,-141.8355
43.2590,70.3129,-141.9625
44.5243,70.3488,-142.0927
45.8181,70.3855,-142.2258
47.1386,70.4230,-142.3616
48.4837,70.4612,-142.5000
49.8514,70.5001,-142.6407
51.2396,70.5395,-142.7835
52.6462,70.5794,-142.9282
54.0690,70.6198,-143.0746
55.5056,70.6606,-143.2223
56.9540,70.7017,-143.3713
58.4117,70.7431,-143.5213
59.8764,70.7847,-143.6720
61.3458,70.8265,-143.8231
62.8176,70.8682,-143.9745
64.2894,70.9100,-144.1259
65.7588,70.9518,-144.2771
67.2236,70.9934,-144.4278
68.6813,71.0347,-144.5777
70.1296,71.0759,-144.7267
71.5663,71.1167,-144.8745
72.9890,71.1571,-145.0209
74.3956,71.1970,-145.1656
75.7838,71.2364,-145.3084
77.1516,71.2753,-145.4491
78.4967,71.3135,-145.5875
79.8171,71.3510,-145.7233
81.1110,71.3877,-145.8564
82.3762,71.4236,-145.9866
83.6111,71.4587,-146.1136
84.8139,71.4928,-146.2373
85.9828,71.5260,-146.3576
87.1164,71.5582,-146.4742
88.2130,71.5894,-146.5870
89.2713,71.6194,-146.6959
90.2901,71.6483,-146.8007
91.2682,71.6761,-146.9013
92.2045,71.7027,-146.9976
93.0980,71.7281,-147.0895
93.9481,71.7522,-147.1770
94.7540,71.7751,-147.2599
95.5153,71.7967,-147.3382
96.2315,71.8170,-147.4119
96.9025,71.8361,-147.4809
97.5281,71.8539,-147.5452
98.1086,71.8703,-147.6050
98.6440,71.8856,-147.6600
99.1351,71.8995,-147.7105
99.5822,71.9122,-147.7565
99.9863,71.9237,-147.7981
100.3484,71.9339,-147.8354
100.6697,71.9431,-147.8684
100.9515,71.9511,-147.8974
101.1956,71.9580,-147.9225
101.4037,71.9639,-147.9439
101.5779,71.9689,-147.9618
101.7205,71.9729,-147.9765
101.8340,71.9761,-147.9882
101.9211,71.9786,-147.9971
101.9849,71.9804,-148.0037
102.0285,71.9817,-148.0082
102.0555,71.9824,-148.0110
102.0697,71.9828,-148.0124
102.0750,71.9830,-148.0130
102.0758,71.9830,-148.0131
102.0758,71.9826,-148.0131
102.0758,71.9802,-148.0133
102.0758,71.9739,-148.0137
102.0758,71.9616,-148.0146
102.0758,71.9419,-148.0159
102.0758,71.9131,-148.0180
102.0758,71.8738,-148.0207
102.0758,71.8226,-148.0243
102.0758,71.7582,-148.0289
102.0758,71.6795,-148.0344
102.0758,71.5855,-148.0410
102.0758,71.4753,-148.0487
102.0758,71.3481,-148.0577
102.0758,71.2030,-148.0678
102.0758,71.0395,-148.0793
102.0758,70.8570,-148.0921
102.0758,70.6551,-148.1063
102.0758,70.4334,-148.1219
102.0758,70.1916,-148.1389
102.0758,69.9295,-148.1573
102.0758,69.6469,-148.1771
102.0758,69.3440,-148.1984
102.0758,69.0206,-148.2211
102.0758,68.6768,-148.2452
102.0758,68.3129,-148.2708
102.0758,67.9290,-148.2978
102.0758,67.5255,-148.3261
102.0758,67.1027,-148.3558
102.0758,66.6611,-148.3868
102.0758,66.2010,-148.4191
102.0758,65.7231,-148.4527
102.0758,65.2279,-148.4874
102.0758,64.7161,-148.5234
102.0758,64.1882,-148.5605
102.0758,63.6451,-148.5986
102.0758,63.0875,-148.6378
102.0758,62.5161,-148.6779
102.0758,61.9319,-148.7189
102.0758,61.3356,-148.7608
102.0758,60.7282,-148.8034
102.0758,60.1106,-148.8468
102.0758,59.4838,-148.8908
102.0758,58.8486,-148.9354
102.0758,58.2062,-148.9805
102.0758,57.5574,-149.0261
102.0758,56.9034,-149.0720
102.0758,56.2452,-149.1183
102.0758,55.5838,-149.1647
102.0758,54.9202,-149.2113
102.0758,54.2556,-149.2580
102.0758,53.5910,-149.3046
102.0758,52.9275,-149.3512
102.0758,52.2661,-149.3977
102.0758,51.6078,-149.4439
102.0758,50.9538,-149.4898
102.0758,50.3051,-149.5354
102.0758,49.6626,-149.5805
102.0758,49.0275,-149.6251
102.0758,48.4006,-149.6691
102.0758,47.7830,-149.7125
102.0758,47.1756,-149.7552
102.0758,46.5793,-149.7970
102.0758,45.9951,-149.8381
102.0758,45.4237,-149.8782
102.0758,44.8661,-149.9174
102.0758,44.3230,-149.9555
102.0758,43.7952,-149.9926
102.0758,43.2833,-150.0285
102.0758,42.7881,-150.0633
102.0758,42.3102,-150.0969
102.0758,41.8502,-150.1292
102.0758,41.4085,-150.1602
102.0758,40.9857,-150.1899
102.0758,40.5822,-150.2182
102.0758,40.1984,-150.2452
102.0758,39.8344,-150.2707
102.0758,39.4907,-150.2949
102.0758,39.1673,-150.3176
102.0758,38.8643,-150.3388
102.0758,38.5818,-150.3587
102.0758,38.3197,-150.3771
102.0758,38.0779,-150.3941
102.0758,37.8561,-150.4096
102.0758,37.6542,-150.4238
102.0758,37.4718,-150.4366
102.0758,37.3082,-150.4481
102.0758,37.1632,-150.4583
102.0758,37.0359,-150.4672
102.0758,36.9257,-150.4750
102.0758,36.8317,-150.4816
102.0758,36.7531,-150.4871
102.0758,36.6887,-150.4916
102.0758,36.6374,-150.4952
102.0758,36.5981,-150.4980
102.0758,36.5693,-150.5000
102.0758,36.5496,-150.5014
102.0758,36.5374,-150.5022
102.0758,36.5310,-150.5027
102.0758,36.5286,-150.5029
102.0758,36.5282,-150.5029
102.0758,36.5286,-150.5029
102.0758,36.5310,-150.5027
102.0758,36.5374,-150.5022
102.0758,36.5496,-150.5014
102.0758,36.5693,-150.5000
102.0758,36.5981,-150.4980
102.0758,36.6374,-150.4952
102.0758,36.6887,-150.4916
102.0758,36.7531,-150.4871
102.0758,36.8317,-150.4816
102.0758,36.9257,-150.4750
102.0758,37.0359,-150.4672
102.0758,37.1632,-150.4583
102.0758,37.3082,-150.4481
102.0758,37.4718,-150.4366
102.0758,37.6542,-150.4238
102.0758,37.8561,-150.4096
102.0758,38.0779,-150.3941
102.0758,38.3197,-150.3771
102.0758,38.5818,-150.3587
102.0758,38.8643,-150.3388
102.0758,39.1673,-150.3176
102.0758,39.4907,-150.2949
102.0758,39.8344,-150.2707
102.0758,40.1984,-150.2452
